name,tree,rep,total_entropy
LAC,rayfinned,3,2.8173746222191145
LAC,rayfinned,2,2.807485070192848
HA,dosreis,13,2.834418668623809
HA,dosreis,12,2.80374202024772
HA,dosreis,9,2.8368386855765473
HA,dosreis,8,2.8074566017172535
NP,dosreis,13,2.766196298219243
NP,dosreis,12,2.810262269169154
HIV,rayfinned,1,2.8618185416300337
NP,rayfinned,15,2.780306973586809
NP,rayfinned,14,2.8202536454909892
LAC,spiralia,15,2.781730363539135
LAC,spiralia,14,2.745201394908959
HA,andersen,19,2.820039170105671
NP,andersen,16,2.815703444421819
HA,andersen,18,2.8240569534178706
NP,andersen,17,2.8021299580737686
NP,opisthokonta,1,2.8146291070165295
HIV,dosreis,17,2.8643343804893595
HIV,dosreis,16,2.861323019309859
LAC,rayfinned,9,2.777465625267935
LAC,rayfinned,8,2.78113810142989
HA,opisthokonta,8,2.8359594655754305
HA,opisthokonta,9,2.8469867098990034
HA,prum,17,2.854645914654914
HA,prum,16,2.840221285316342
HA,andersen,9,2.8074074475646307
LAC,opisthokonta,8,2.7742710530369474
HA,andersen,8,2.8374324687940105
LAC,opisthokonta,9,2.7400922396417875
NP,andersen,9,2.823013804462161
NP,andersen,8,2.817992481503348
HIV,salichos,17,2.855406055451598
HIV,salichos,16,2.857603241980045
LAC,salichos,20,2.795986539235646
LAC,spiralia,6,2.732681694759036
LAC,spiralia,7,2.7943510128902966
HA,opisthokonta,10,2.8476749883549717
HIV,salichos,9,2.853911968090696
HIV,salichos,8,2.8607847870418652
HA,opisthokonta,11,2.821214580456114
HIV,prum,13,2.8401956178894268
HIV,prum,12,2.8365930480131762
HIV,opisthokonta,3,2.8358742646825883
NP,prum,17,2.8291678571006047
NP,prum,16,2.793032222019337
HIV,opisthokonta,2,2.849339175654542
HIV,ruhfel,9,2.875494121858973
HIV,spiralia,1,2.8383699834113183
HIV,ruhfel,8,2.834421401280393
LAC,dosreis,11,2.793538080365138
LAC,dosreis,10,2.767183155527167
NP,salichos,11,2.802612846203076
LAC,andersen,19,2.751560100664225
NP,salichos,10,2.820288274268654
LAC,andersen,18,2.749116053202956
HA,spiralia,15,2.8203240543732013
