name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,spiralia,2,m1,-22116.0911,205,44642.1821,46150.3964,45373.6928,16,26.452325402599993
LAC,spiralia,2,m3,-23984.1303,204,48376.2606,49843.6290,49104.2029,14,19.7916865646
LAC,spiralia,2,m2,-22713.1908,223,45872.3817,48501.4343,46668.1225,16,27.4850147545
LAC,spiralia,2,GTR20,-23921.1149,411,48664.2299,387328.2299,50130.8195,12,18.838732484400005
LAC,dosreis,3,m3,-21035.9014,563,43197.8027,678261.8027,45206.7807,106,12.491469724399956
LAC,dosreis,3,m2,-20155.2755,563,41436.5510,676500.5510,43445.5289,98,16.28286589669998
LAC,dosreis,3,m1,-19708.7277,545,40507.4553,635647.4553,42452.2031,98,16.25462189429997
LAC,dosreis,3,poisson,-23066.1985,543,47218.3969,638002.3969,49156.0080,104,12.265344708899981
LAC,dosreis,3,m4,-21661.6655,563,44449.3310,679513.3310,46458.3090,108,12.631928967899961
LAC,dosreis,3,m5,-24327.8163,543,49741.6326,640525.6326,51679.2436,118,17.467515129999956
LAC,dosreis,3,GTR20,-20893.2036,751,43288.4072,1172792.4072,45968.2339,106,12.457178503399954
LAC,andersen,3,GTR20,-9451.7621,551,20005.5242,628309.5242,21971.6820,128,5.571202697100005
LAC,andersen,3,poisson,-10312.0608,343,21310.1215,257294.1215,22534.0637,136,5.470800520700005
LAC,andersen,3,m4,-9792.7513,362,20309.5026,283121.5026,21601.2433,130,5.824573163300003
LAC,andersen,3,m5,-10850.8382,343,22387.6765,258371.6765,23611.6186,122,7.1016864531
LAC,andersen,3,m3,-9526.8107,364,19781.6214,285501.6214,21080.4988,132,8.124552619500006
LAC,andersen,3,m2,-9265.1500,363,19256.2999,283520.2999,20551.6090,126,8.085721755700005
LAC,andersen,3,m1,-9085.0404,345,18860.0809,257600.0809,20091.1597,122,6.968856300600001
LAC,opisthokonta,3,m3,-19497.9913,138,39271.9826,39583.8850,39764.4141,4,16.785474384499995
LAC,opisthokonta,3,m2,-18537.9446,157,37389.8892,37866.9276,37950.1192,8,26.566805497100006
LAC,opisthokonta,3,m1,-18166.7630,139,36611.5261,36930.5425,37107.5260,4,23.584536572100003
LAC,opisthokonta,3,m4,-20113.9137,137,40501.8274,40806.7629,40990.6906,8,15.896539105299999
LAC,opisthokonta,3,m5,-22675.6406,137,45625.2811,45930.2166,46114.1443,12,23.7691447969
LAC,opisthokonta,3,poisson,-21407.7808,137,43089.5615,43394.4970,43578.4247,10,15.336232991500005
LAC,opisthokonta,3,GTR20,-19523.5429,345,39737.0858,278477.0858,40968.1646,8,15.9621595195
LAC,prum,3,m1,-9344.8223,399,19487.6447,338687.6447,20911.4142,122,5.319528260200009
LAC,prum,3,m3,-9815.6620,416,20463.3240,367407.3240,21947.7553,140,4.916667710500003
LAC,prum,3,m2,-9501.0161,418,19838.0322,370122.0322,21329.6002,137,5.916869062400004
LAC,prum,3,m4,-10167.5745,397,21129.1490,337141.1490,22545.7818,125,4.987153468799996
LAC,prum,3,m5,-11178.8713,397,23151.7426,339163.7426,24568.3754,138,6.031693063000007
LAC,prum,3,poisson,-10678.1964,397,22150.3928,338162.3928,23567.0256,134,4.906856913700001
LAC,prum,3,GTR20,-9651.7867,605,20513.5735,753773.5735,22672.4219,132,4.923953149200007
LAC,ruhfel,3,GTR20,-28512.8163,863,58751.6327,1550015.6327,61831.1140,232,19.84389886970003
LAC,ruhfel,3,poisson,-31216.2106,655,63742.4211,923102.4211,66079.6868,240,19.333452669400017
LAC,ruhfel,3,m1,-26478.3944,657,54270.7887,918882.7887,56615.1910,224,24.202513980200045
LAC,ruhfel,3,m3,-28387.1825,675,58124.3649,970724.3649,60532.9975,228,20.747839664800022
LAC,ruhfel,3,m2,-27125.0790,675,55600.1581,968200.1581,58008.7906,220,26.738495083300034
LAC,ruhfel,3,m4,-29276.0540,657,59866.1079,924478.1079,62210.5103,230,71.01694238170002
LAC,ruhfel,3,m5,-33021.8807,655,67353.7615,926713.7615,69691.0271,250,26.782844611100007
LAC,salichos,3,GTR20,-7440.7375,251,15383.4750,28033.8750,16279.1295,2,6.093713589999999
LAC,salichos,3,m2,-7188.5053,63,14503.0105,14543.7378,14727.8162,4,9.902258916500003
LAC,salichos,3,m3,-7450.7965,63,15027.5930,15068.3202,15252.3987,2,6.9856311932000015
LAC,salichos,3,m1,-7093.3758,45,14276.7516,14295.9182,14437.3271,2,9.462151929200001
LAC,salichos,3,m5,-8637.5569,43,17361.1138,17378.4716,17514.5526,6,9.6401121726
LAC,salichos,3,poisson,-8092.8367,43,16271.6734,16289.0312,16425.1122,0,5.908311808199998
LAC,salichos,3,m4,-7704.9100,43,15495.8200,15513.1778,15649.2588,8,6.5047437098
LAC,rayfinned,3,GTR20,-36504.7396,815,74639.4792,1404719.4792,77547.6800,84,24.722528848500016
LAC,rayfinned,3,m5,-42584.0170,607,86382.0339,824494.0339,88548.0190,84,30.883875752200016
LAC,rayfinned,3,m4,-37681.6266,626,76615.2533,861619.2533,78849.0369,86,25.738233757600014
LAC,rayfinned,3,m1,-33871.9298,609,68961.8596,811941.8596,71134.9814,88,39.390324212899976
LAC,rayfinned,3,m2,-34725.2411,628,70706.4823,860730.4823,72947.4026,90,41.27061571309999
LAC,rayfinned,3,m3,-36650.9475,627,74555.8949,862067.8949,76793.2469,82,25.242264382000002
LAC,rayfinned,3,poisson,-40164.9374,607,81543.8747,819655.8747,83709.8598,102,24.205914991600004
LAC,spiralia,3,GTR20,-24239.3346,411,49300.6692,387964.6692,50767.2588,24,19.568535558200008
LAC,spiralia,3,poisson,-26624.0184,203,53654.0369,55082.0369,54378.4108,34,18.758514653699994
LAC,spiralia,3,m2,-22888.0915,223,46222.1829,48851.2355,47017.9237,16,41.17337163289998
LAC,spiralia,3,m3,-24172.2435,223,48790.4870,51419.5396,49586.2278,20,19.48194757810002
LAC,spiralia,3,m1,-22457.7246,205,45325.4493,46833.6636,46056.9599,16,26.201169711699997
LAC,spiralia,3,m5,-28167.5455,203,56741.0910,58169.0910,57465.4649,22,27.36937271259998
LAC,spiralia,3,m4,-24918.1031,223,50282.2061,52911.2588,51077.9470,30,22.035429942099988
LAC,dosreis,4,m5,-24527.8949,545,50145.7897,645285.7897,52090.5375,74,17.22831378469997
LAC,dosreis,4,m4,-22099.2282,546,45290.4564,642614.4564,47238.7725,68,21.01372949319998
LAC,dosreis,4,m1,-20211.0820,547,41516.1640,641028.1640,43468.0484,74,15.750577872399969
LAC,dosreis,4,m2,-20616.5266,566,42365.0533,684209.0533,44384.7362,74,18.44274179010003
LAC,dosreis,4,m3,-21595.3055,546,44282.6111,641606.6111,46230.9272,74,16.35576826039995
LAC,dosreis,4,poisson,-23561.2921,545,48212.5843,643352.5843,50157.3320,72,12.555998635299973
LAC,dosreis,4,GTR20,-21472.3272,753,44450.6545,1179974.6545,47137.6179,78,12.761791158599973
LAC,andersen,4,poisson,-10261.5016,345,21213.0032,259953.0032,22444.0821,160,5.423894911399997
LAC,andersen,4,GTR20,-9320.2963,553,19746.5927,632470.5927,21719.8872,162,5.537613425200004
LAC,andersen,4,m1,-8946.4219,347,18586.8438,260098.8438,19825.0594,164,7.104467626600001
LAC,andersen,4,m2,-9088.1847,366,18908.3693,287552.3693,20214.3834,162,7.747052799200006
LAC,andersen,4,m3,-9410.3801,365,19550.7602,286730.7602,20853.2059,154,8.068875886700003
LAC,andersen,4,m5,-10816.8624,345,22323.7249,261063.7249,23554.8037,154,7.656789510000012
LAC,andersen,4,m4,-9628.2857,365,19986.5714,287166.5714,21289.0172,152,8.916929059099997
LAC,opisthokonta,4,GTR20,-19915.3113,345,40520.6226,279260.6226,41751.7015,10,15.9843838713
LAC,opisthokonta,4,m5,-23207.5614,137,46689.1229,46994.0584,47177.9861,12,22.71406526760001
LAC,opisthokonta,4,m4,-20492.2756,137,41258.5512,41563.4867,41747.4144,10,15.918914075700004
LAC,opisthokonta,4,m1,-18395.1181,139,37068.2362,37387.2526,37564.2361,4,24.168507081900003
LAC,opisthokonta,4,m2,-18756.0900,157,37826.1800,38303.2185,38386.4101,6,28.148352012600007
LAC,opisthokonta,4,m3,-19781.5233,138,39839.0466,40150.9490,40331.4781,10,33.13817280680001
LAC,opisthokonta,4,poisson,-21552.7785,137,43379.5571,43684.4925,43868.4203,10,15.536011142899994
LAC,prum,4,m5,-11343.1661,397,23480.3322,339492.3322,24896.9649,156,6.634470424600008
LAC,prum,4,poisson,-10812.2180,397,22418.4360,338430.4360,23835.0688,164,5.0244909059
LAC,prum,4,m4,-10231.0646,417,21296.1292,369908.1292,22784.1288,166,5.238425228200005
LAC,prum,4,m2,-9640.0920,417,20114.1839,368726.1839,21602.1836,162,7.132075427200005
LAC,prum,4,m3,-9967.1321,416,20766.2643,367710.2643,22250.6956,159,5.053222593800004
LAC,prum,4,m1,-9474.1913,399,19746.3826,338946.3826,21170.1520,160,5.916732214800008
LAC,prum,4,GTR20,-9800.6456,605,20811.2911,754071.2911,22970.1395,158,5.0583712690000056
LAC,ruhfel,4,poisson,-31821.5678,657,64957.1357,929569.1357,67301.5380,248,19.641188690600007
LAC,ruhfel,4,m5,-33653.6858,657,68621.3715,933233.3715,70965.7739,262,26.724144282600008
LAC,ruhfel,4,m4,-29660.4658,677,60674.9317,978686.9317,63090.7009,252,22.26087331370003
LAC,ruhfel,4,m2,-27472.4876,677,56298.9752,974310.9752,58714.7444,244,28.745490805500015
LAC,ruhfel,4,GTR20,-28957.1407,865,59644.2814,1557824.2814,62730.8994,240,20.091660803300048
LAC,ruhfel,4,m3,-28806.4151,677,58966.8303,976978.8303,61382.5995,248,20.808177640700038
LAC,ruhfel,4,m1,-26902.4955,659,55122.9909,925002.9909,57474.5300,238,31.251142555799994
LAC,salichos,4,GTR20,-7419.2851,251,15340.5701,27990.9701,16236.2246,4,6.183008611499999
LAC,salichos,4,poisson,-8140.9058,43,16367.8116,16385.1694,16521.2504,4,5.9020480146
LAC,salichos,4,m4,-7667.4703,43,15420.9407,15438.2985,15574.3795,4,6.4046324942
