name,tree,repl,model,modelq
NP,rtree100_bl1.5_rep1,11,mtART,5
NP,rtree100_bl1.5_rep1,12,VT+F+G4,1
NP,rtree100_bl1.5_rep1,12,mtMet+F+G4,2
NP,rtree100_bl1.5_rep1,12,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,12,rtREV,4
NP,rtree100_bl1.5_rep1,12,mtART,5
NP,rtree100_bl1.5_rep1,13,VT+F+G4,1
NP,rtree100_bl1.5_rep1,13,Blosum62+F,2
NP,rtree100_bl1.5_rep1,13,Dayhoff+F,3
NP,rtree100_bl1.5_rep1,13,rtREV,4
NP,rtree100_bl1.5_rep1,13,mtART,5
NP,rtree100_bl1.5_rep1,14,VT+F+G4,1
NP,rtree100_bl1.5_rep1,14,WAG+G4,2
NP,rtree100_bl1.5_rep1,14,DCMut+G4,3
NP,rtree100_bl1.5_rep1,14,FLU+G4,4
NP,rtree100_bl1.5_rep1,14,mtART,5
NP,rtree100_bl1.5_rep1,15,VT+F+G4,1
NP,rtree100_bl1.5_rep1,15,WAG+F,2
NP,rtree100_bl1.5_rep1,15,Dayhoff+F,3
NP,rtree100_bl1.5_rep1,15,rtREV,4
NP,rtree100_bl1.5_rep1,15,mtART,5
NP,rtree100_bl1.5_rep1,16,VT+F+G4,1
NP,rtree100_bl1.5_rep1,16,WAG+F,2
NP,rtree100_bl1.5_rep1,16,Dayhoff+F,3
NP,rtree100_bl1.5_rep1,16,rtREV,4
NP,rtree100_bl1.5_rep1,16,mtART,5
NP,rtree100_bl1.5_rep1,17,VT+F+G4,1
NP,rtree100_bl1.5_rep1,17,JTT+F,2
NP,rtree100_bl1.5_rep1,17,DCMut+G4,3
NP,rtree100_bl1.5_rep1,17,rtREV,4
NP,rtree100_bl1.5_rep1,17,mtART,5
NP,rtree100_bl1.5_rep1,18,VT+F+G4,1
NP,rtree100_bl1.5_rep1,18,WAG+F,2
NP,rtree100_bl1.5_rep1,18,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,18,rtREV,4
NP,rtree100_bl1.5_rep1,18,mtART,5
NP,rtree100_bl1.5_rep1,19,VT+F+G4,1
NP,rtree100_bl1.5_rep1,19,mtMet+F+G4,2
NP,rtree100_bl1.5_rep1,19,Dayhoff+G4,3
NP,rtree100_bl1.5_rep1,19,rtREV,4
NP,rtree100_bl1.5_rep1,19,mtART,5
NP,rtree100_bl1.5_rep1,20,VT+F+G4,1
NP,rtree100_bl1.5_rep1,20,mtREV+F+G4,2
NP,rtree100_bl1.5_rep1,20,Dayhoff+F,3
NP,rtree100_bl1.5_rep1,20,rtREV,4
NP,rtree100_bl1.5_rep1,20,mtART,5
NP,rtree100_bl3_rep1,1,VT+F+G4,1
NP,rtree100_bl3_rep1,1,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,1,rtREV+G4,3
NP,rtree100_bl3_rep1,1,mtMAM+F,4
NP,rtree100_bl3_rep1,1,HIVw,5
NP,rtree100_bl3_rep1,2,VT+F+G4,1
NP,rtree100_bl3_rep1,2,WAG+G4,2
NP,rtree100_bl3_rep1,2,Dayhoff+G4,3
NP,rtree100_bl3_rep1,2,mtMAM+F,4
NP,rtree100_bl3_rep1,2,HIVw,5
NP,rtree100_bl3_rep1,3,VT+F+G4,1
NP,rtree100_bl3_rep1,3,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,3,Dayhoff+G4,3
NP,rtree100_bl3_rep1,3,rtREV,4
NP,rtree100_bl3_rep1,3,mtART,5
NP,rtree100_bl3_rep1,4,VT+F+G4,1
NP,rtree100_bl3_rep1,4,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,4,Dayhoff+G4,3
NP,rtree100_bl3_rep1,4,rtREV,4
NP,rtree100_bl3_rep1,4,HIVw,5
NP,rtree100_bl3_rep1,5,VT+F+G4,1
NP,rtree100_bl3_rep1,5,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,5,Dayhoff+G4,3
NP,rtree100_bl3_rep1,5,mtREV+G4,4
NP,rtree100_bl3_rep1,5,HIVw,5
NP,rtree100_bl3_rep1,6,VT+F+G4,1
NP,rtree100_bl3_rep1,6,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,6,mtInv+F,3
NP,rtree100_bl3_rep1,6,mtREV+G4,4
NP,rtree100_bl3_rep1,6,HIVw,5
NP,rtree100_bl3_rep1,7,VT+F+G4,1
NP,rtree100_bl3_rep1,7,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,7,rtREV+G4,3
NP,rtree100_bl3_rep1,7,mtMAM+F,4
NP,rtree100_bl3_rep1,7,HIVw,5
NP,rtree100_bl3_rep1,8,VT+F+G4,1
NP,rtree100_bl3_rep1,8,WAG+G4,2
NP,rtree100_bl3_rep1,8,Dayhoff+G4,3
NP,rtree100_bl3_rep1,8,mtREV+G4,4
NP,rtree100_bl3_rep1,8,HIVw,5
NP,rtree100_bl3_rep1,9,VT+F+G4,1
NP,rtree100_bl3_rep1,9,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,9,Dayhoff+G4,3
NP,rtree100_bl3_rep1,9,mtMAM+F,4
NP,rtree100_bl3_rep1,9,HIVw,5
NP,rtree100_bl3_rep1,10,VT+F+G4,1
NP,rtree100_bl3_rep1,10,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,10,DCMut+G4,3
NP,rtree100_bl3_rep1,10,rtREV,4
NP,rtree100_bl3_rep1,10,HIVw,5
NP,rtree100_bl3_rep1,11,VT+F+G4,1
NP,rtree100_bl3_rep1,11,JTTDCMut+G4,2
NP,rtree100_bl3_rep1,11,mtInv+F,3
NP,rtree100_bl3_rep1,11,mtREV+G4,4
NP,rtree100_bl3_rep1,11,HIVw,5
NP,rtree100_bl3_rep1,12,VT+F+G4,1
NP,rtree100_bl3_rep1,12,WAG+G4,2
NP,rtree100_bl3_rep1,12,rtREV+G4,3
NP,rtree100_bl3_rep1,12,mtMAM+F,4
