type,name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
rtree,NP,3,4,q5,optimizedtruetree,-130341.8600,197,261077.7200,261337.7600,261907.2082,0,116.18380981909996
rtree,NP,3,4,pogofit,inferredtree,-116165.7179,198,232727.4357,232990.9943,233561.1346,90,101.9332208298
rtree,NP,3,4,q1,optimizedtruetree,-117778.4843,217,235990.9685,236328.8685,236904.6687,0,115.46085377399997
rtree,NP,3,4,q4,optimizedtruetree,-123703.7631,197,247801.5262,248061.5662,248631.0144,0,104.64622935300002
rtree,NP,3,4,q2,optimizedtruetree,-119888.7022,198,240173.4044,240436.9629,241007.1032,0,122.9117726804
rtree,NP,3,4,q1,inferredtree,-117577.6482,217,235589.2964,235927.1964,236502.9966,98,111.15191652040002
rtree,NP,3,4,q2,inferredtree,-119673.0227,198,239742.0455,240005.6040,240575.7443,94,119.86000624989997
rtree,NP,3,4,poisson,inferredtree,-123298.6923,197,246991.3847,247251.4247,247820.8729,92,81.58452278360001
rtree,NP,3,4,pogofit,optimizedtruetree,-116337.2304,198,233070.4608,233334.0193,233904.1596,0,104.67548338650002
rtree,NP,3,4,q3,inferredtree,-121186.2361,198,242768.4723,243032.0308,243602.1711,94,146.52027671739995
rtree,NP,3,4,q5,inferredtree,-129949.6423,197,260293.2845,260553.3245,261122.7728,96,114.16573844690002
rtree,NP,3,4,hbstyle,optimizedtruetree,-120111.1174,217,240656.2347,240994.1347,241569.9349,0,122.1194762911
rtree,NP,3,4,q4,inferredtree,-123342.7315,197,247079.4631,247339.5031,247908.9513,96,102.61845541460008
rtree,NP,3,4,hbstyle,inferredtree,-119913.1156,217,240260.2312,240598.1312,241173.9314,90,120.7849078892
rtree,NP,3,4,q3,optimizedtruetree,-121420.7433,198,243237.4867,243501.0452,244071.1855,0,148.54032063110006
rtree,NP,0.3,5,hbstyle,inferredtree,-62075.4328,217,124584.8657,124922.7657,125498.5659,0,25.761488468499994
rtree,NP,0.3,5,q3,optimizedtruetree,-67753.3536,197,135900.7073,136160.7473,136730.1955,0,27.259401341400004
rtree,NP,0.3,5,pogofit,optimizedtruetree,-61576.7701,198,123549.5402,123813.0987,124383.2390,0,26.088582400499995
rtree,NP,0.3,5,hbstyle,optimizedtruetree,-62075.4339,217,124584.8679,124922.7679,125498.5681,0,25.779913216200008
rtree,NP,0.3,5,q2,optimizedtruetree,-66870.0682,197,134134.1365,134394.1765,134963.6247,0,27.38210204130001
rtree,NP,0.3,5,poisson,inferredtree,-70349.7219,197,141093.4438,141353.4838,141922.9321,0,26.655139878999982
rtree,NP,0.3,5,poisson,optimizedtruetree,-70349.7220,197,141093.4439,141353.4839,141922.9321,0,26.654306869999992
rtree,NP,0.3,5,q4,optimizedtruetree,-69189.6481,216,138811.2961,139144.9046,139720.7857,0,29.727262670600012
rtree,NP,0.3,5,q5,optimizedtruetree,-76978.8207,197,154351.6413,154611.6813,155181.1296,0,41.69908980589999
rtree,NP,0.3,5,q5,inferredtree,-76978.8206,197,154351.6413,154611.6813,155181.1295,0,41.69745811190002
rtree,NP,0.3,5,pogofit,inferredtree,-61576.7698,198,123549.5395,123813.0981,124383.2383,0,26.079422021099987
rtree,NP,0.3,5,q1,optimizedtruetree,-64975.2154,217,130384.4308,130722.3308,131298.1310,0,27.800161124899997
rtree,NP,0.3,5,q4,inferredtree,-69189.6480,216,138811.2961,139144.9046,139720.7857,0,29.728039219799985
rtree,NP,0.3,5,q2,inferredtree,-66870.0682,197,134134.1364,134394.1764,134963.6246,0,27.38293893769999
