type,name,tree,repl,pogofit,hb,q1,q2,q3,q4,q5,poisson,true
rtree,NP,0.75,18,0.6780,0.6780,1.0000,0.6780,0.6770,0.6770,0.0700,0.6780,0.6770
rtree,NP,0.75,19,0.8980,0.8980,1.0000,0.8060,0.6240,0.5960,0.1680,0.5990,0.8960
rtree,NP,0.75,20,0.9990,0.9990,0.7620,1.0000,1.0000,0.7600,0.8010,0.0430,1.0000
rtree,LAC,0.03,1,0.8330,0.6000,0.9880,1.0000,0.9980,0.9870,0.8510,0.6000,0.4960
rtree,LAC,0.03,2,0.9980,0.7730,1.0000,0.7730,0.9030,0.9120,0.4660,0.6950,0.6620
rtree,LAC,0.03,3,0.8960,0.6540,0.9720,0.9620,0.9760,0.6340,0.7370,1.0000,0.9630
rtree,LAC,0.03,4,0.9840,0.9950,0.9950,0.9570,0.9880,1.0000,0.7730,0.8260,0.3850
rtree,LAC,0.03,5,0.9910,0.9760,0.9890,0.8930,0.9970,1.0000,0.4620,0.9520,0.5440
rtree,LAC,0.03,6,0.9990,0.9980,1.0000,0.9240,0.9970,0.9970,0.2020,0.4990,0.4990
rtree,LAC,0.03,7,0.8880,0.8070,1.0000,0.8880,0.8880,0.8070,0.6700,0.8710,0.6110
rtree,LAC,0.03,8,1.0000,0.9640,0.9900,0.9710,0.9740,0.9330,0.2640,0.9420,0.8420
rtree,LAC,0.03,9,0.5260,0.9920,0.9810,0.5360,0.9940,1.0000,0.9910,0.9510,0.9050
rtree,LAC,0.03,10,1.0000,0.9980,0.9570,0.9600,0.8490,0.9830,0.8110,0.8440,0.2480
rtree,LAC,0.03,11,0.9340,0.9880,1.0000,0.8050,0.9750,0.9900,1.0000,0.8060,0.3960
rtree,LAC,0.03,12,0.9950,0.9950,0.9920,0.8380,1.0000,1.0000,0.6670,0.6250,0.8040
rtree,LAC,0.03,13,0.9830,0.8710,0.9880,1.0000,0.9870,0.8270,0.9800,0.8540,0.3450
rtree,LAC,0.03,14,0.9970,0.8750,1.0000,0.9230,1.0000,0.9930,0.7790,0.9880,0.2580
rtree,LAC,0.03,15,0.3810,0.9890,0.9780,0.9890,0.7620,1.0000,0.7630,0.9910,0.3810
rtree,LAC,0.03,16,0.9270,0.9970,0.8490,0.9910,0.5890,1.0000,0.8910,0.6050,0.9560
rtree,LAC,0.03,17,0.9480,0.6430,0.6410,0.9470,0.9670,0.9220,1.0000,0.7620,0.8080
rtree,LAC,0.03,18,0.9960,0.9950,1.0000,0.9880,0.9940,0.9920,0.2580,0.7440,0.8040
rtree,LAC,0.03,19,0.9160,0.9900,0.9780,1.0000,0.7710,0.9570,0.8020,0.9920,0.4640
rtree,LAC,0.03,20,0.3600,0.9810,0.9880,1.0000,0.9740,0.7730,0.7510,1.0000,0.3610
rtree,LAC,0.3,1,0.5040,0.5130,1.0000,0.9960,0.9980,0.9940,0.8980,0.9800,0.9880
rtree,LAC,0.3,2,0.4920,0.9700,0.9960,0.9870,0.9970,1.0000,0.9690,0.5060,0.9930
rtree,LAC,0.3,3,0.4890,0.9600,1.0000,0.5080,0.9970,0.9740,0.9960,0.9910,0.9810
rtree,LAC,0.3,4,0.9930,0.4900,1.0000,0.9500,0.9720,0.9870,0.9770,0.5080,0.9850
rtree,LAC,0.3,5,0.4900,0.8970,1.0000,0.9990,0.9870,0.9360,0.9990,0.9780,0.5270
rtree,LAC,0.3,6,0.9960,0.9970,1.0000,0.8740,0.9770,0.9810,0.9920,0.4910,0.5100
rtree,LAC,0.3,7,0.9910,0.9910,1.0000,0.9910,0.9920,0.9940,0.5020,0.9840,0.9930
rtree,LAC,0.3,8,0.9800,0.5050,1.0000,0.4910,0.9790,0.9940,0.8980,0.9920,0.9440
rtree,LAC,0.3,9,0.4920,0.5040,1.0000,0.9870,0.9800,0.9900,0.7120,0.9870,0.9980
rtree,LAC,0.3,10,0.7290,0.9920,1.0000,0.9930,0.7640,0.9930,0.0920,0.9890,0.9950
rtree,LAC,0.3,11,1.0000,0.8390,0.9210,1.0000,0.7440,1.0000,0.2080,0.9610,1.0000
rtree,LAC,0.3,12,0.9980,0.4980,1.0000,0.9760,0.5020,0.9920,0.9740,0.9930,0.9980
rtree,LAC,0.3,13,0.9810,0.9890,1.0000,0.8860,0.5880,0.9290,0.9930,0.9950,0.4900
rtree,LAC,0.3,14,0.4920,0.9980,1.0000,0.9800,0.9940,0.5050,0.9270,0.9800,0.9200
rtree,LAC,0.3,15,0.9660,1.0000,0.5340,0.9960,1.0000,0.4890,1.0000,0.4860,0.9960
rtree,LAC,0.3,16,0.7580,0.9930,1.0000,0.9940,0.7510,0.8630,0.0710,0.9560,0.9930
rtree,LAC,0.3,17,1.0000,1.0000,0.9860,1.0000,0.8830,1.0000,0.3080,0.2920,1.0000
rtree,LAC,0.3,18,0.9830,0.6940,1.0000,0.7830,0.9990,0.5140,0.9970,0.9970,1.0000
rtree,LAC,0.3,19,0.9980,0.9000,1.0000,0.8410,0.7710,0.2980,0.2980,0.9730,0.9910
rtree,LAC,0.3,20,0.9650,0.4860,1.0000,0.9960,0.9960,0.9730,0.9570,0.5190,0.9960
rtree,LAC,1.5,1,0.9230,0.5580,1.0000,0.7380,0.8630,0.6090,0.0440,0.0070,0.3120
rtree,LAC,1.5,2,0.8580,0.2220,1.0000,0.7360,0.1280,0.6350,0.0210,0.1310,0.2420
rtree,LAC,1.5,3,0.9390,0.4900,1.0000,0.6710,0.7100,0.5190,0.1050,0.0870,0.1550
rtree,LAC,1.5,4,0.5320,0.2970,1.0000,0.8290,0.8020,0.3910,0.1140,0.0240,0.5000
rtree,LAC,1.5,5,0.6900,0.7120,1.0000,0.7210,0.7160,0.3040,0.0890,0.0010,0.0520
rtree,LAC,1.5,6,0.7180,0.6060,1.0000,0.8700,0.6270,0.2900,0.0110,0.0410,0.1490
rtree,LAC,1.5,7,0.8960,0.3560,1.0000,0.7570,0.2090,0.5540,0.0780,0.0220,0.2030
rtree,LAC,1.5,8,0.8620,0.4370,1.0000,0.9180,0.4080,0.4230,0.0130,0.0530,0.6080
rtree,LAC,1.5,9,0.8210,0.8380,1.0000,0.7610,0.3520,0.3360,0.1370,0.2350,0.2400
rtree,LAC,1.5,10,0.8100,0.7300,1.0000,0.4610,0.5020,0.3840,0.0450,0.3450,0.2040
rtree,LAC,1.5,11,0.5450,0.3070,1.0000,0.7070,0.8000,0.6470,0.0180,0.0430,0.2860
rtree,LAC,1.5,12,0.6640,0.7390,1.0000,0.8060,0.4140,0.1170,0.0130,0.0020,0.4030
rtree,LAC,1.5,13,0.9260,0.6830,1.0000,0.7090,0.4430,0.5180,0.1450,0.0040,0.2440
rtree,LAC,1.5,14,0.9330,0.4540,1.0000,0.6870,0.7470,0.5350,0.2340,0.0100,0.1430
rtree,LAC,1.5,15,0.8440,0.4700,1.0000,0.7030,0.3770,0.4730,0.0880,0.1680,0.4020
rtree,LAC,1.5,16,0.5890,0.5420,1.0000,0.7290,0.2580,0.3360,0.0790,0.1420,0.2420
rtree,LAC,1.5,17,0.6300,0.7090,1.0000,0.9170,0.5410,0.5670,0.1970,0.1990,0.1890
rtree,LAC,1.5,18,0.7890,0.5650,1.0000,0.7580,0.4960,0.3300,0.1120,0.1110,0.2110
rtree,LAC,1.5,19,0.6090,0.3700,1.0000,0.7380,0.7830,0.4630,0.0150,0.0670,0.0810
rtree,LAC,1.5,20,0.9390,0.4890,1.0000,0.8790,0.2000,0.1300,0.0310,0.0120,0.4200
rtree,LAC,0.75,1,0.5300,0.5300,0.9740,1.0000,0.9710,0.5900,0.4810,0.3040,0.5310
rtree,LAC,0.75,2,0.7760,0.8310,0.9260,1.0000,0.7760,0.6870,0.0320,0.7170,0.7760
rtree,LAC,0.75,3,0.9890,1.0000,0.9780,0.7660,0.8740,0.6250,0.0500,0.5710,0.8940
rtree,LAC,0.75,4,0.7680,0.9410,1.0000,0.7690,0.4690,0.9520,0.2380,0.7690,0.7690
rtree,LAC,0.75,5,0.9790,0.3630,0.9770,0.9640,1.0000,0.3790,0.2310,0.6340,0.9990
rtree,LAC,0.75,6,0.9780,0.9980,0.9690,0.7390,0.9900,0.7950,0.0220,0.3830,1.0000
rtree,LAC,0.75,7,0.9250,0.9970,1.0000,0.3360,0.9270,0.6480,0.0500,0.6490,0.9210
rtree,LAC,0.75,8,0.9770,0.9640,0.9850,1.0000,0.5070,0.6390,0.1630,0.3030,0.8090
rtree,LAC,0.75,9,0.9010,1.0000,0.9940,1.0000,0.6630,0.8870,0.5320,0.3320,1.0000
rtree,LAC,0.75,10,0.0000,0.0000,1.0000,0.8030,0.9510,0.8970,0.8660,0.3200,0.0000
rtree,LAC,0.75,11,1.0000,0.8710,0.8980,0.9910,0.9660,0.9950,0.0040,0.4330,0.9930
rtree,LAC,0.75,12,0.9990,0.8310,1.0000,1.0000,0.9990,0.8690,0.0430,0.4470,0.9980
rtree,LAC,0.75,13,0.8090,0.8090,0.8910,1.0000,0.6470,0.6470,0.0040,0.4390,0.8090
rtree,LAC,0.75,14,0.6810,0.6810,0.9340,1.0000,0.8140,0.6810,0.0650,0.6810,0.4980
rtree,LAC,0.75,15,0.9840,0.8110,1.0000,0.6080,0.6700,0.9880,0.9990,0.3840,0.3500
rtree,LAC,0.75,16,0.8440,0.8150,0.8660,0.8430,0.9880,1.0000,0.1640,0.1550,0.8420
rtree,LAC,0.75,17,0.7670,0.7670,1.0000,0.7630,0.7270,0.9170,0.0340,0.7430,0.6590
rtree,LAC,0.75,18,1.0000,0.8650,0.8910,1.0000,0.8800,1.0000,1.0000,0.0840,0.8790
rtree,LAC,0.75,19,0.9890,0.6610,0.9690,0.9990,0.5510,1.0000,0.0960,0.2340,0.9710
rtree,LAC,0.75,20,0.8590,0.6500,1.0000,0.8880,0.6500,0.6500,0.5840,0.4400,0.6500
rtree,Gal4,0.03,1,0.7940,0.7050,1.0000,0.8600,0.8890,0.8600,0.6080,0.8140,0.7330
rtree,Gal4,0.03,2,0.6920,0.7910,0.8770,0.8770,0.7910,0.8770,0.8770,1.0000,0.0360
rtree,Gal4,0.03,3,0.7150,0.8610,0.9930,0.8260,1.0000,0.6230,0.8550,0.7790,0.2720
rtree,Gal4,0.03,4,0.6040,0.9580,0.9270,0.9560,1.0000,0.9590,0.9560,0.6330,0.4450
rtree,Gal4,0.03,5,0.7350,0.7910,0.9990,0.9990,1.0000,0.9530,0.4700,0.9950,0.0890
rtree,Gal4,0.03,6,0.8180,0.7730,0.9600,1.0000,0.8630,0.8630,0.6050,0.7710,0.1740
rtree,Gal4,0.03,7,0.7740,0.7740,1.0000,0.7750,0.7740,0.7740,0.7580,0.7740,0.2860
rtree,Gal4,0.03,8,0.8060,0.7370,1.0000,0.8350,0.9110,0.7760,0.8980,0.5570,0.3760
rtree,Gal4,0.03,9,0.7160,0.9670,1.0000,0.7250,0.9030,0.9540,0.9540,0.5580,0.2810
rtree,Gal4,0.03,10,0.4500,1.0000,0.9680,0.9010,0.4500,0.8810,0.9520,0.6200,0.1230
rtree,Gal4,0.03,11,1.0000,0.8310,0.9890,0.9850,0.8310,0.7080,0.6460,0.4080,0.3040
rtree,Gal4,0.03,12,0.8830,0.7880,1.0000,0.9620,0.4940,0.4940,0.7930,0.4260,0.3910
rtree,Gal4,0.03,13,0.8100,0.7200,1.0000,0.9100,0.9100,0.7380,0.7320,0.7230,0.1640
rtree,Gal4,0.03,14,0.8440,0.7490,0.8190,0.8100,0.7500,0.9460,1.0000,0.6700,0.1440
rtree,Gal4,0.03,15,0.7490,0.7480,1.0000,0.7490,0.7500,0.7480,0.5450,0.7490,0.6990
rtree,Gal4,0.03,16,0.7660,0.9510,1.0000,0.6650,0.6650,0.6660,0.6480,0.8000,0.1190
rtree,Gal4,0.03,17,0.8950,0.9590,1.0000,0.9530,0.5500,0.5500,0.5500,0.5500,0.1600
rtree,Gal4,0.03,18,0.8500,0.8050,1.0000,0.9070,0.9060,0.7170,0.3320,0.8060,0.2320
rtree,Gal4,0.03,19,0.9580,0.9910,1.0000,0.9750,0.9980,0.9680,0.5930,0.6470,0.2900
rtree,Gal4,0.03,20,0.9900,0.9950,0.9990,1.0000,0.9120,0.8870,0.5330,0.9880,0.2360
rtree,Gal4,0.3,1,0.9050,0.8610,1.0000,0.9550,0.5240,0.6780,0.2700,0.7090,0.5360
rtree,Gal4,0.3,2,0.8540,0.7980,1.0000,0.8360,0.9430,0.9760,0.2180,0.2710,0.2680
rtree,Gal4,0.3,3,0.5170,0.5840,1.0000,0.8740,0.5540,0.7170,0.4630,0.6800,0.3700
rtree,Gal4,0.3,4,0.7170,0.5370,1.0000,0.7990,0.9430,0.8670,0.6100,0.3690,0.8370
rtree,Gal4,0.3,5,0.8270,0.5960,1.0000,0.9570,0.8960,0.8710,0.1640,0.7700,0.3610
rtree,Gal4,0.3,6,0.6970,0.6760,1.0000,0.9220,0.7750,0.7560,0.0970,0.3870,0.6540
rtree,Gal4,0.3,7,0.7800,0.7470,1.0000,0.9530,0.7800,0.6430,0.3330,0.4360,0.5520
rtree,Gal4,0.3,8,0.4870,0.7360,1.0000,0.7950,0.8480,0.3670,0.3150,0.5370,0.4540
rtree,Gal4,0.3,9,0.9680,0.9520,1.0000,0.9770,0.8130,0.3590,0.3530,0.8560,0.4550
rtree,Gal4,0.3,10,0.9000,0.8050,1.0000,0.7360,0.6860,0.8850,0.3150,0.4190,0.5110
rtree,Gal4,0.3,11,0.6120,0.4910,1.0000,0.4840,0.8830,0.7540,0.2580,0.5390,0.4030
rtree,Gal4,0.3,12,0.7780,0.6680,1.0000,0.9190,0.9190,0.5990,0.6480,0.2120,0.2240
rtree,Gal4,0.3,13,0.8920,0.6930,1.0000,0.5620,0.6380,0.5870,0.5380,0.4750,0.4670
rtree,Gal4,0.3,14,0.8880,0.6210,1.0000,0.7920,0.8900,0.7670,0.6080,0.7470,0.5640
rtree,Gal4,0.3,15,0.8670,0.8560,1.0000,0.8960,0.8500,0.7550,0.2060,0.6890,0.2180
rtree,Gal4,0.3,16,0.7260,0.7490,1.0000,0.8320,0.7880,0.6170,0.4020,0.6520,0.3940
rtree,Gal4,0.3,17,0.7130,0.7330,1.0000,0.3130,0.6810,0.5560,0.5250,0.5750,0.3950
rtree,Gal4,0.3,18,0.5540,0.5250,1.0000,0.9100,0.5940,0.9480,0.2830,0.7970,0.2260
rtree,Gal4,0.3,19,0.7180,0.8720,1.0000,0.7850,0.6570,0.6380,0.3600,0.7130,0.8770
rtree,Gal4,0.3,20,0.9070,0.8190,1.0000,0.7750,0.7790,0.8270,0.3420,0.5460,0.5050
rtree,Gal4,1.5,1,0.5750,0.1380,1.0000,0.6420,0.1100,0.6360,0.0230,0.2640,0.0170
rtree,Gal4,1.5,2,0.8150,0.8720,1.0000,0.8040,0.4690,0.4820,0.0490,0.1570,0.3280
rtree,Gal4,1.5,3,0.2940,0.5910,1.0000,0.5750,0.7540,0.4600,0.2650,0.0940,0.0290
rtree,Gal4,1.5,4,0.6270,0.5000,1.0000,0.7660,0.6140,0.1970,0.0480,0.1200,0.0090
rtree,Gal4,1.5,5,0.4760,0.2840,1.0000,0.4470,0.7120,0.3500,0.2230,0.1120,0.0800
rtree,Gal4,1.5,6,0.6500,0.3510,1.0000,0.7620,0.7710,0.3530,0.0630,0.1040,0.1110
rtree,Gal4,1.5,7,0.5400,0.3450,1.0000,0.7790,0.5700,0.3960,0.0830,0.2500,0.0260
rtree,Gal4,1.5,8,0.7430,0.5840,1.0000,0.8590,0.7510,0.6880,0.2530,0.2540,0.1270
rtree,Gal4,1.5,9,0.3300,0.7030,1.0000,0.6760,0.5940,0.3540,0.3140,0.1290,0.1270
rtree,Gal4,1.5,10,0.5540,0.6440,1.0000,0.7670,0.5800,0.5360,0.1280,0.1220,0.1490
rtree,Gal4,1.5,11,0.6980,0.6030,1.0000,0.6680,0.8600,0.3760,0.0370,0.1240,0.0220
rtree,Gal4,1.5,12,0.8000,0.6390,1.0000,0.8010,0.7320,0.2920,0.0370,0.0780,0.1430
rtree,Gal4,1.5,13,0.8340,0.5330,1.0000,0.4010,0.4750,0.5550,0.1120,0.3320,0.0000
rtree,Gal4,1.5,14,0.5380,0.5120,1.0000,0.8900,0.3310,0.6200,0.0670,0.0400,0.0080
rtree,Gal4,1.5,15,0.4890,0.6970,1.0000,0.5690,0.4410,0.6960,0.0740,0.4220,0.0970
rtree,Gal4,1.5,16,0.4910,0.5370,1.0000,0.8710,0.5890,0.7000,0.1580,0.1640,0.0260
rtree,Gal4,1.5,17,0.7300,0.7130,1.0000,0.7520,0.6630,0.4380,0.0570,0.1130,0.2650
rtree,Gal4,1.5,18,0.7560,0.5000,1.0000,0.6850,0.2280,0.7360,0.0600,0.0990,0.0920
rtree,Gal4,1.5,19,0.6470,0.3860,1.0000,0.6220,0.5180,0.4260,0.0170,0.3660,0.0260
rtree,Gal4,1.5,20,0.5590,0.6400,1.0000,0.5180,0.7870,0.5900,0.4280,0.2230,0.0410
rtree,Gal4,0.75,1,0.5990,0.5600,1.0000,0.7270,0.2450,0.8320,0.4620,0.2150,0.2900
rtree,Gal4,0.75,2,0.5620,0.5220,1.0000,0.7640,0.7570,0.5940,0.1010,0.2720,0.0740
rtree,Gal4,0.75,3,0.6580,0.7510,1.0000,0.6720,0.7040,0.2460,0.1340,0.5740,0.2070
rtree,Gal4,0.75,4,0.5130,0.5790,1.0000,0.7590,0.8280,0.6360,0.2770,0.1720,0.1970
rtree,Gal4,0.75,5,0.7850,0.6350,1.0000,0.6310,0.3990,0.5680,0.1630,0.3010,0.3400
rtree,Gal4,0.75,6,0.7790,0.6310,1.0000,0.7760,0.6940,0.3890,0.2400,0.2240,0.2480
rtree,Gal4,0.75,7,0.6210,0.4130,1.0000,0.6890,0.7310,0.7940,0.1490,0.2720,0.3100
rtree,Gal4,0.75,8,0.8220,0.4430,1.0000,0.7280,0.5800,0.3400,0.2280,0.0980,0.0060
rtree,Gal4,0.75,9,0.6070,0.5800,1.0000,0.3000,0.3980,0.6190,0.1590,0.3460,0.2230
rtree,Gal4,0.75,10,0.7670,0.8390,1.0000,0.7650,0.4510,0.3800,0.0370,0.4680,0.1240
rtree,Gal4,0.75,11,0.8030,0.6710,1.0000,0.7590,0.6940,0.7000,0.0820,0.2840,0.2370
rtree,Gal4,0.75,12,0.7500,0.5610,1.0000,0.7910,0.4720,0.8490,0.0510,0.1340,0.7700
rtree,Gal4,0.75,13,0.8180,0.8930,1.0000,0.8280,0.7170,0.6110,0.0520,0.0120,0.2660
rtree,Gal4,0.75,14,0.7420,0.7220,1.0000,0.7700,0.7720,0.8810,0.1850,0.1340,0.3520
rtree,Gal4,0.75,15,0.6340,0.4230,1.0000,0.9090,0.7310,0.5060,0.1480,0.3820,0.0580
