name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF02210,q4,inferredtree,-63509.1991,487,127992.3982,603304.3982,129750.2109,196,206,221.47311998829997
PF02210,q5,inferredtree,-67299.5937,468,135535.1875,574519.1875,137224.4203,206,218,363.7327298684996
PF02441,q4,optimizedtruetree,-10324.0480,98,20844.0960,21000.5799,21177.9989,0,40,31.137871906
PF02441,pogofit,optimizedtruetree,-9624.0201,80,19408.0401,19499.3078,19680.6139,0,40,36.10261229279999
PF02441,q5,optimizedtruetree,-11146.9759,79,22451.9518,22540.3434,22721.1184,0,40,43.8594550996
PF02441,q1,optimizedtruetree,-9791.8834,80,19743.7668,19835.0344,20016.3405,0,40,40.9281913921
PF02441,pogofit,inferredtree,-9601.1510,80,19362.3020,19453.5696,19634.8757,26,26,35.51532267119998
PF02441,q3,optimizedtruetree,-10082.0494,98,20360.0988,20516.5827,20694.0016,0,40,28.650423342299995
PF02441,poisson,optimizedtruetree,-10821.6885,79,21801.3770,21889.7686,22070.5435,0,40,22.075607946800005
PF02441,q5,inferredtree,-11117.3450,79,22392.6900,22481.0816,22661.8566,24,36,43.9086351209
PF02441,q4,inferredtree,-10302.0760,98,20800.1520,20956.6359,21134.0548,34,30,30.974489397899998
PF02441,q2,inferredtree,-9958.8009,81,20079.6019,20173.8146,20355.5828,30,24,36.70577309859999
PF02441,q3,inferredtree,-10052.1050,98,20300.2101,20456.6939,20634.1129,44,32,28.632786975700007
PF02441,poisson,inferredtree,-10752.3668,79,21662.7336,21751.1252,21931.9001,44,32,21.39863721759999
PF02441,q2,optimizedtruetree,-9983.2216,81,20128.4431,20222.6559,20404.4241,0,40,37.13221286219999
PF02441,q1,inferredtree,-9762.6693,80,19685.3387,19776.6063,19957.9124,40,0,39.29870388969999
PF07452,q1,inferredtree,-6373.6813,52,12851.3626,12908.1873,13007.9156,6,0,19.996592638399996
PF07452,q2,inferredtree,-6384.3073,71,12910.6145,13041.6914,13124.3696,4,2,23.534465062700004
PF07452,q3,inferredtree,-6485.6787,51,13073.3574,13127.4799,13226.8998,20,18,20.9393124261
