name,tree,rep,model,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,greenalga,3,poisson,-10924.9761,43,21935.9522,21944.2870,22117.0080,2,3.4465643097000007
NP,greenalga,3,q1,-10160.9043,44,20409.8085,20418.5502,20595.0749,2,3.688285908
NP,greenalga,3,q2,-10340.2883,63,20806.5766,20825.1572,21071.8444,2,4.3126367537
NP,greenalga,3,q3,-10479.1892,63,21084.3785,21102.9591,21349.6463,2,3.5960675366
NP,greenalga,3,q4,-10759.9251,45,21609.8503,21619.0096,21799.3273,2,3.9605483953000005
NP,greenalga,3,q5,-11851.9405,43,23789.8810,23798.2158,23970.9368,2,5.240426113299999
NP,opisthokonta,3,poisson,-55892.6820,137,112059.3640,112164.3974,112636.2163,4,24.625801366200008
NP,opisthokonta,3,q1,-51230.7223,157,102775.4447,102921.3623,103436.5089,2,28.364940306599983
NP,opisthokonta,3,q2,-52622.6885,157,105559.3770,105705.2947,106220.4412,2,32.621305786199976
NP,opisthokonta,3,q3,-53475.1609,156,107262.3218,107405.9699,107919.1754,6,26.286695260500007
NP,opisthokonta,3,q4,-54730.6892,138,109737.3785,109844.2420,110318.4413,6,43.567883563299986
NP,opisthokonta,3,q5,-60979.8093,137,122233.6185,122338.6519,122810.4707,14,43.460618317
NP,prum,3,poisson,-30553.9367,397,61901.8733,65061.9933,63573.4816,72,8.193540050499994
NP,prum,3,q1,-28006.6631,399,56811.3262,60068.4691,58491.3556,70,9.2200163512
NP,prum,3,q2,-28794.7271,417,58423.4542,62781.1042,60179.2744,66,8.227276402400005
NP,prum,3,q3,-29259.6970,417,59353.3939,63711.0439,61109.2142,72,8.365464120699993
NP,prum,3,q4,-29788.3556,399,60374.7113,63631.8541,62054.7407,74,8.907870539799989
NP,prum,3,q5,-33549.0414,397,67892.0829,71052.2029,69563.6911,72,10.39116275759998
NP,ruhfel,3,poisson,-90663.1513,695,182716.3027,1150156.3027,185642.6697,104,32.94771430400001
NP,ruhfel,3,q1,-83401.5903,696,168195.1807,1138419.1807,171125.7583,104,34.9874043723
NP,ruhfel,3,q2,-85964.3635,715,173358.7270,1197238.7270,176369.3060,108,41.804659631499966
NP,ruhfel,3,q3,-87177.4231,695,175744.8463,1143184.8463,178671.2133,100,33.440926067799985
NP,ruhfel,3,q4,-88675.4382,696,178742.8763,1148966.8763,181673.4540,114,50.008117165300014
NP,ruhfel,3,q5,-97728.2763,695,196846.5527,1164286.5527,199772.9197,118,49.91490231459997
NP,salichos,3,poisson,-20789.7857,43,41665.5714,41673.9062,41846.6272,8,9.724637376099999
NP,salichos,3,q1,-19358.6035,63,38843.2069,38861.7875,39108.4747,4,12.515622871100001
NP,salichos,3,q2,-19709.0892,62,39542.1784,39560.1371,39803.2356,6,10.8461026843
NP,salichos,3,q3,-20013.9523,44,40115.9045,40124.6463,40301.1709,6,10.9442266525
NP,salichos,3,q4,-20362.9025,45,40815.8051,40824.9644,41005.2821,10,14.416155462500006
NP,salichos,3,q5,-22158.1811,43,44402.3623,44410.6971,44583.4181,10,18.945486723099997
NP,rayfinned,3,poisson,-51913.3833,607,105040.7666,843152.7666,107596.6008,54,14.814527687099986
NP,rayfinned,3,q1,-47311.9283,608,95839.8566,836383.8566,98399.9014,58,16.162711835300005
NP,rayfinned,3,q2,-48572.7549,628,98401.5099,888425.5099,101045.7667,54,19.190679190399994
NP,rayfinned,3,q3,-49601.7562,607,100417.5124,838529.5124,102973.3466,54,14.856557232699993
NP,rayfinned,3,q4,-50472.3059,607,102158.6119,840270.6119,104714.4461,56,14.789875981600007
NP,rayfinned,3,q5,-56907.9327,607,115029.8654,853141.8654,117585.6996,70,19.856049690200003
NP,spiralia,3,poisson,-35557.0654,203,71520.1307,71801.8450,72374.8826,12,11.540850412599994
NP,spiralia,3,q1,-32273.0670,204,64954.1341,65239.5948,65813.0965,10,12.645114398899997
NP,spiralia,3,q2,-33247.0536,204,66902.1071,67187.5679,67761.0695,10,14.453991647100006
NP,spiralia,3,q3,-34047.1035,204,68502.2070,68787.6678,69361.1695,12,11.87113054519999
NP,spiralia,3,q4,-34562.8550,222,69569.7101,69929.7537,70504.4633,12,11.860276414199996
NP,spiralia,3,q5,-39293.1349,203,78992.2699,79273.9841,79847.0217,16,16.34335946720001
NP,andersen,4,poisson,-29187.5796,353,59081.1592,60816.7426,60567.5010,80,9.052809672099992
NP,andersen,4,q1,-26807.4997,373,54360.9993,56611.0316,55931.5532,72,9.933601111999995
NP,andersen,4,q2,-27586.9449,355,55883.8897,57663.8897,57378.6528,76,10.060284599900001
NP,andersen,4,q3,-28001.6931,355,56713.3862,58493.3862,58208.1492,74,11.219226289400002
NP,andersen,4,q4,-28531.1670,355,57772.3340,59552.3340,59267.0970,76,9.871047448899995
NP,andersen,4,q5,-31690.3188,353,64086.6376,65822.2209,65572.9794,84,13.685815739600008
NP,dosreis,4,poisson,-68296.2948,545,137682.5896,732822.5896,139977.3666,38,21.03870919040003
NP,dosreis,4,q1,-62278.7789,546,125649.5578,722973.5578,127948.5454,34,21.178681439799973
NP,dosreis,4,q2,-64072.2838,565,129274.5676,768854.5676,131653.5567,40,27.180986678399996
NP,dosreis,4,q3,-65388.7163,547,131871.4326,731383.4326,134174.6308,36,21.63535768330001
NP,dosreis,4,q4,-66549.9908,545,134189.9816,729329.9816,136484.7586,36,20.762591618700018
NP,dosreis,4,q5,-74280.2539,546,149652.5077,746976.5077,151951.4954,54,28.504423063199972
NP,greenalga,4,poisson,-10993.4194,43,22072.8388,22081.1736,22253.8946,2,3.4499142759
NP,greenalga,4,q1,-10171.1372,44,20430.2745,20439.0162,20615.5409,0,3.576390174099999
NP,greenalga,4,q2,-10370.3036,63,20866.6072,20885.1878,21131.8750,0,4.210468443100002
NP,greenalga,4,q3,-10553.0829,44,21194.1659,21202.9076,21379.4323,0,3.5938364819000004
NP,greenalga,4,q4,-10821.0102,44,21730.0204,21738.7621,21915.2868,0,3.4759260701
NP,greenalga,4,q5,-11945.5417,43,23977.0834,23985.4182,24158.1392,0,4.827885817599999
NP,opisthokonta,4,poisson,-56011.3308,137,112296.6616,112401.6949,112873.5138,4,24.6264668367
NP,opisthokonta,4,q1,-51461.1782,157,103236.3563,103382.2740,103897.4206,4,28.295224861699992
NP,opisthokonta,4,q2,-52895.4976,157,106104.9952,106250.9128,106766.0594,2,32.4042565
NP,opisthokonta,4,q3,-53831.8398,156,107975.6797,108119.3277,108632.5333,4,27.915520517599994
NP,opisthokonta,4,q4,-54892.6446,156,110097.2892,110240.9373,110754.1428,4,29.9458941945
NP,opisthokonta,4,q5,-61212.4912,137,122698.9824,122804.0157,123275.8346,6,44.4425431598
NP,prum,4,poisson,-28536.2654,397,57866.5309,61026.6509,59538.1391,98,7.504153922300007
NP,prum,4,q1,-26232.5433,399,53263.0866,56520.2294,54943.1160,104,7.792605843099999
NP,prum,4,q2,-26928.1695,417,54690.3390,59047.9890,56446.1593,96,7.562724000199994
NP,prum,4,q3,-27401.3231,397,55596.6461,58756.7661,57268.2543,102,7.1870588294
NP,prum,4,q4,-27979.7467,399,56757.4934,60014.6363,58437.5229,108,8.275647446199999
NP,prum,4,q5,-31335.8684,397,63465.7368,66625.8568,65137.3450,100,9.330046185599997
NP,ruhfel,4,poisson,-88363.0088,697,178120.0177,1151132.0177,181054.8059,106,32.15569376869999
NP,ruhfel,4,q1,-81287.1616,698,163970.3232,1139774.3232,166909.3221,128,31.94517658180002
NP,ruhfel,4,q2,-83515.7341,698,168427.4681,1144231.4681,171366.4670,124,35.88664433090002
NP,ruhfel,4,q3,-84885.4509,697,171164.9019,1144176.9019,174099.6901,118,34.214235341799935
NP,ruhfel,4,q4,-86199.5593,698,173795.1186,1149599.1186,176734.1174,130,49.78688771449997
NP,ruhfel,4,q5,-96579.3268,697,194552.6536,1167564.6536,197487.4419,118,52.97677703650001
NP,salichos,4,poisson,-20504.0414,43,41094.0827,41102.4175,41275.1385,0,9.360710996700004
NP,salichos,4,q1,-19124.6185,63,38375.2370,38393.8177,38640.5048,0,11.895586389600004
NP,salichos,4,q2,-19563.4678,44,39214.9356,39223.6773,39400.2020,0,10.767406381099999
NP,salichos,4,q3,-19750.1577,63,39626.3154,39644.8960,39891.5832,2,11.1550677029
NP,salichos,4,q4,-20139.8386,44,40367.6773,40376.4190,40552.9437,6,12.868614733900003
NP,salichos,4,q5,-22055.6658,43,44197.3316,44205.6664,44378.3874,4,19.072713915299996
NP,rayfinned,4,poisson,-51886.4466,607,104986.8931,843098.8931,107542.7274,78,14.884666734699985
NP,rayfinned,4,q1,-47409.4372,627,96072.8744,883584.8744,98712.9207,80,17.152898434200008
NP,rayfinned,4,q2,-48861.0374,627,98976.0747,886488.0747,101616.1210,78,15.0471146934
NP,rayfinned,4,q3,-49860.2947,608,100936.5893,841480.5893,103496.6342,88,14.653861089399996
NP,rayfinned,4,q4,-50809.3902,609,102836.7804,845816.7804,105401.0358,82,16.507481102299995
NP,rayfinned,4,q5,-57435.0604,607,116084.1208,854196.1208,118639.9551,84,19.2685853905
NP,spiralia,4,poisson,-35940.2233,203,72286.4467,72568.1610,73141.1985,2,11.630177708999996
NP,spiralia,4,q1,-32469.1630,223,65384.3261,65748.9392,66323.2899,2,13.751974045300004
NP,spiralia,4,q2,-33652.7136,204,67713.4272,67998.8879,68572.3896,6,15.496046087400007
NP,spiralia,4,q3,-34282.8635,222,69009.7269,69369.7705,69944.4801,4,12.422100528799998
NP,spiralia,4,q4,-35065.9466,203,70537.8933,70819.6076,71392.6451,6,11.799038071600004
NP,spiralia,4,q5,-40042.8056,203,80491.6112,80773.3255,81346.3630,10,16.389677024700003
NP,andersen,5,poisson,-28919.8754,353,58545.7507,60281.3340,60032.0925,80,9.028863741000002
