name,model,logl,k,AIC,AICc,BIC,rf,treelength
PF00588,m1,-39435.9441,285,79441.8882,242461.8882,80401.1914,0,98.3806781742999
PF00588,m2,-40293.8563,304,81195.7127,266635.7127,82218.9694,68,138.7073844162999
PF00588,m3,-40982.7218,302,82569.4435,265581.4435,83585.9683,92,95.44947599730001
PF00588,poisson,-44461.4670,283,89488.9340,250232.9340,90441.5052,166,81.42605474800001
PF00588,m5,-45425.2732,283,91416.5464,252160.5464,92369.1176,150,180.69089773080012
PF00588,m4,-42119.6368,304,84847.2735,270287.2735,85870.5302,112,139.41424715410002
PF00588,GTR20,-40111.7774,491,81205.5549,564349.5549,82858.2491,118,92.20489827959994
PF04909,poisson,-91003.1702,277,182560.3403,182901.0748,183832.6137,84,96.0524788771
PF04909,GTR20,-85472.4229,485,171914.8459,173846.8950,174142.4725,82,112.50594332910009
PF04909,m5,-95811.6049,278,192179.2097,192523.1654,193456.0761,92,331.672575476
PF04909,m4,-89817.7420,278,180191.4840,180535.4396,181468.3503,72,157.6729061085001
PF04909,m2,-86471.5034,277,173497.0069,173837.7414,174769.2802,78,117.20197640199999
PF04909,m3,-87695.4907,277,175944.9813,176285.7158,177217.2546,70,140.492035956
PF04909,m1,-85034.5471,297,170663.0942,171072.8442,172027.2284,0,123.93752839589999
PF07983,m3,-12886.2632,220,26212.5264,123452.5264,26845.0698,74,45.2409651001
PF07983,m2,-12601.4449,221,25644.8898,123768.8898,26280.3084,40,34.35491811069999
PF07983,m1,-12350.0513,203,25106.1026,107930.1026,25689.7677,0,42.82481726240002
PF07983,GTR20,-12336.7425,409,25491.4850,360871.4850,26667.4407,66,40.702379162899945
PF07983,m4,-13247.5306,202,26899.0613,108911.0613,27479.8511,52,64.94004608649996
PF07983,m5,-14439.7219,201,29281.4439,110485.4439,29859.3585,72,59.44963644719997
PF07983,poisson,-14226.8374,201,28855.6747,110059.6747,29433.5894,64,35.6624791158
PF01966,m5,-43501.4982,317,87636.9964,289248.9964,88708.4239,170,326.5869648576998
PF01966,m4,-40603.6135,318,81843.2270,284727.2270,82918.0344,126,160.49060819629992
PF01966,m2,-38899.4108,337,78472.8215,306284.8215,79611.8469,106,125.44865656289997
PF01966,m3,-39575.2156,337,79824.4311,307636.4311,80963.4566,138,153.15025136400016
PF01966,m1,-38245.8565,319,77129.7130,281289.7130,78207.9003,0,120.7450183342001
PF01966,GTR20,-38269.2762,525,77588.5523,629888.5523,79362.9984,120,118.58548358509994
PF01966,poisson,-41077.5910,317,82789.1821,284401.1821,83860.6095,150,100.38442387319999
PF01750,poisson,-7646.3376,51,15394.6752,15451.7074,15546.4886,24,15.693020799200005
PF01750,m4,-7224.8657,70,14589.7313,14724.0556,14798.1027,18,29.6200970505
PF01750,m5,-7842.0710,51,15786.1420,15843.1743,15937.9554,28,46.788123635800005
PF01750,m1,-6856.8855,53,13819.7709,13882.6720,13977.5378,0,28.587633209399996
PF01750,m3,-7090.8879,52,14285.7758,14345.6888,14440.5659,16,23.612555750999995
PF01750,GTR20,-6770.0825,259,14058.1650,148738.1650,14829.1391,6,20.212559419
PF01750,m2,-6939.9781,71,14021.9562,14162.0110,14233.3043,10,21.1209570717
PF05016,poisson,-29968.7395,325,60587.4790,272487.4790,61531.6933,176,91.97742423390001
PF05016,m2,-27555.3086,344,55798.6171,293158.6171,56798.0316,86,112.64546964039997
PF05016,m3,-27890.1617,344,56468.3235,293828.3235,57467.7380,102,120.98308100039999
PF05016,m1,-27153.2555,345,54996.5109,293736.5109,55998.8307,0,116.12355869610003
PF05016,GTR20,-27129.0325,533,55324.0650,624568.0650,56872.5765,126,111.12613247739992
PF05016,m5,-31244.1730,326,63140.3461,276344.3461,64087.4657,170,261.6703927371
PF05016,m4,-28684.9032,326,58021.8063,271225.8063,58968.9259,140,134.56642026329993
PF01118,m3,-37719.9167,369,76177.8333,349237.8333,77368.1339,140,105.36329275179996
PF01118,m2,-36917.6153,387,74609.2306,374921.2306,75857.5945,134,93.77903223009997
PF01118,m1,-36150.5205,369,73039.0411,346099.0411,74229.3416,0,111.35255119749996
PF01118,poisson,-41009.3266,367,82752.6533,352864.6533,83936.5023,188,76.83330314889994
PF01118,m4,-39021.3187,368,78778.6374,350362.6374,79965.7122,140,126.48249417819994
PF01118,m5,-43370.1860,367,87474.3721,357586.3721,88658.2211,154,157.92308966070004
PF01118,GTR20,-36782.9927,575,74715.9854,737115.9854,76570.7897,140,88.65593895550003
PF00571,m4,-111709.4246,873,225164.8492,1751168.8492,228347.3244,636,508.2445008417
PF00571,poisson,-118628.4535,871,238998.9071,1758022.9071,242174.0913,710,317.06241997569975
PF00571,m5,-120197.8572,872,242139.7145,1764651.7145,245318.5442,704,864.3304406155008
