model1,model2,r,rmse
VT,mtZOA,0.8775063759071395,0.6041845700159283
VT,rtREV,0.918331880793751,0.8085837091750897
VT,mtART,0.833913211168077,0.632510981710041
mtMAM,mtREV,0.9134310262432916,262859550.7519503
mtMAM,mtZOA,0.8260950890898807,262859553.08996162
mtMAM,rtREV,0.722396415539025,262859553.4433315
mtMAM,mtART,0.7897849296150762,262859553.0241468
mtREV,mtZOA,0.8864305650500115,2.572972054628883
mtREV,rtREV,0.7857927922986234,2.929075452366349
mtREV,mtART,0.8425364593282854,2.524488060672718
mtZOA,rtREV,0.8620065689489481,0.45724769117287767
mtZOA,mtART,0.9820303204176257,0.18118254932722588
rtREV,mtART,0.8544130044007086,0.5657596071886191
