name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,rayfinned,1,r2,inferredtree,-50259.5754,628,101775.1508,891799.1508,104419.4077,92,16.493060411199995
NP,rayfinned,1,r3,inferredtree,-52783.2306,626,106818.4613,891822.4613,109454.2969,82,15.891869083600001
NP,rayfinned,1,r4,inferredtree,-55366.0114,608,111948.0228,852492.0228,114508.0677,84,19.436358294100017
NP,rayfinned,1,r5,inferredtree,-57671.8349,607,116557.6697,854669.6697,119113.5040,88,20.32414272979999
NP,rayfinned,1,poisson,optimizedtruetree,-52834.2513,607,106882.5027,844994.5027,109438.3369,0,15.195243518199986
NP,rayfinned,1,r1,optimizedtruetree,-48217.2384,608,97650.4768,838194.4768,100210.5216,0,17.06372112480001
NP,rayfinned,1,r2,optimizedtruetree,-50287.5819,628,101831.1639,891855.1639,104475.4207,0,16.50960315650003
NP,rayfinned,1,r3,optimizedtruetree,-52832.9222,626,106917.8445,891921.8445,109553.6801,0,15.920713101000011
NP,rayfinned,1,r4,optimizedtruetree,-55432.4933,608,112080.9866,852624.9866,114641.0315,0,19.4803530459
NP,rayfinned,1,r5,optimizedtruetree,-57751.6714,607,116717.3427,854829.3427,119273.1770,0,20.367346517600005
NP,spiralia,1,poisson,inferredtree,-36602.1459,203,73610.2919,73892.0062,74465.0437,2,11.976257219099997
NP,spiralia,1,r1,inferredtree,-33410.2257,205,67230.4513,67519.6979,68093.6243,6,13.544674981799988
NP,spiralia,1,r2,inferredtree,-35066.6757,203,70539.3514,70821.0656,71394.1032,6,12.128304504100004
NP,spiralia,1,r3,inferredtree,-36667.2556,204,73742.5112,74027.9720,74601.4736,6,14.237738173200006
NP,spiralia,1,r4,inferredtree,-38836.6280,204,78081.2561,78366.7168,78940.2185,8,16.078367589200003
NP,spiralia,1,r5,inferredtree,-40335.0436,203,81076.0873,81357.8016,81930.8391,14,16.965022516300007
NP,spiralia,1,poisson,optimizedtruetree,-36607.9332,203,73621.8663,73903.5806,74476.6181,0,11.980802232699999
NP,spiralia,1,r1,optimizedtruetree,-33418.1136,205,67246.2273,67535.4738,68109.4003,0,13.529513870699999
NP,spiralia,1,r2,optimizedtruetree,-35075.6119,203,70557.2237,70838.9380,71411.9755,0,12.128952122100005
NP,spiralia,1,r3,optimizedtruetree,-36680.2601,204,73768.5202,74053.9809,74627.4826,0,14.245505068200005
NP,spiralia,1,r4,optimizedtruetree,-38859.3619,204,78126.7238,78412.1846,78985.6863,0,16.0881589895
NP,spiralia,1,r5,optimizedtruetree,-40360.2754,203,81126.5509,81408.2652,81981.3027,0,16.949748422300004
NP,andersen,2,poisson,inferredtree,-28669.7578,353,58045.5156,59781.0990,59531.8575,82,8.860981337899998
NP,andersen,2,r1,inferredtree,-26569.7596,355,53849.5192,55629.5192,55344.2823,86,9.990305013700002
NP,andersen,2,r2,inferredtree,-27832.1235,354,56372.2470,58129.8694,57862.7994,86,9.648074287999995
NP,andersen,2,r3,inferredtree,-29161.0720,354,59030.1440,60787.7664,60520.6965,86,11.122558293399997
NP,andersen,2,r4,inferredtree,-30362.7210,354,61433.4420,63191.0644,62923.9944,88,12.375929110599998
NP,andersen,2,r5,inferredtree,-31574.3829,353,63854.7658,65590.3491,65341.1076,86,13.13040774129999
NP,andersen,2,poisson,optimizedtruetree,-28718.5051,353,58143.0102,59878.5935,59629.3520,2,8.893334599699998
NP,andersen,2,r1,optimizedtruetree,-26610.3173,355,53930.6346,55710.6346,55425.3976,2,9.999890953000007
NP,andersen,2,r2,optimizedtruetree,-27875.3604,354,56458.7207,58216.3431,57949.2732,2,9.675344039699997
NP,andersen,2,r3,optimizedtruetree,-29223.8623,354,59155.7245,60913.3469,60646.2770,2,11.158046022999995
NP,andersen,2,r4,optimizedtruetree,-30428.8875,354,61565.7750,63323.3974,63056.3274,2,12.40458010230001
NP,andersen,2,r5,optimizedtruetree,-31655.1617,353,64016.3234,65751.9068,65502.6653,2,13.160044201500003
NP,dosreis,2,poisson,inferredtree,-66203.6506,545,133497.3011,728637.3011,135792.0782,24,20.280091777100036
NP,dosreis,2,r1,inferredtree,-60488.2333,546,122068.4665,719392.4665,124367.4542,26,21.110375181699983
NP,dosreis,2,r2,inferredtree,-63274.8696,546,127641.7391,724965.7391,129940.7267,26,20.644211720899992
NP,dosreis,2,r3,inferredtree,-67225.7209,546,135543.4418,732867.4418,137842.4294,34,44.31121275369996
NP,dosreis,2,r4,inferredtree,-70038.7146,546,141169.4293,738493.4293,143468.4169,34,61.23572648349998
NP,dosreis,2,r5,inferredtree,-72861.7616,546,146815.5233,744139.5233,149114.5109,36,27.371852329000024
NP,dosreis,2,poisson,optimizedtruetree,-66211.6646,545,133513.3292,728653.3292,135808.1062,0,20.286225487000017
NP,dosreis,2,r1,optimizedtruetree,-60494.6212,546,122081.2425,719405.2425,124380.2301,0,21.09071690869997
NP,dosreis,2,r2,optimizedtruetree,-63281.8486,546,127655.6972,724979.6972,129954.6848,0,20.650557861900015
NP,dosreis,2,r3,optimizedtruetree,-67246.8324,546,135585.6647,732909.6647,137884.6524,0,44.107477844899954
NP,dosreis,2,r4,optimizedtruetree,-70063.4167,546,141218.8335,738542.8335,143517.8211,0,61.637359406200005
NP,dosreis,2,r5,optimizedtruetree,-72899.6230,546,146891.2460,744215.2460,149190.2336,0,27.376196135000026
NP,opisthokonta,2,poisson,inferredtree,-56009.0806,137,112292.1612,112397.1945,112869.0134,8,24.850272591500012
NP,opisthokonta,2,r1,inferredtree,-51542.4706,157,103398.9412,103544.8588,104060.0054,2,29.3494419248
NP,opisthokonta,2,r2,inferredtree,-54068.4413,139,108414.8826,108523.5977,109000.1561,0,33.9005511581
NP,opisthokonta,2,r3,inferredtree,-55956.0074,158,112228.0148,112376.2272,112893.2896,4,67.68956257250005
NP,opisthokonta,2,r4,inferredtree,-58640.1362,156,117592.2723,117735.9204,118249.1259,10,37.44867857149999
