name,tree,rep,model,optim,logl,k,AIC,AICc,BIC,rf_true,treelength
NP,ruhfel,2,m4,optimizedtruetree,-87004.3607,697,175402.7215,1148414.7215,178337.5097,26,51.32463013919995
NP,ruhfel,2,m5,optimizedtruetree,-97243.2220,696,195878.4441,1166102.4441,198809.0217,26,51.51276712349999
NP,ruhfel,2,poisson,optimizedtruetree,-88461.7527,695,178313.5053,1145753.5053,181239.8724,26,32.02824162509998
NP,salichos,2,m1,inferredtree,-19779.5079,63,39685.0158,39703.5964,39950.2836,4,12.720299265
NP,salichos,2,m2,inferredtree,-20187.1853,44,40462.3707,40471.1124,40647.6371,4,13.003976044600003
NP,salichos,2,m3,inferredtree,-20441.7709,63,41009.5419,41028.1225,41274.8097,6,12.4545542475
NP,salichos,2,m4,inferredtree,-20765.0968,44,41618.1937,41626.9354,41803.4601,4,14.4539498662
NP,salichos,2,m5,inferredtree,-22806.1263,43,45698.2525,45706.5873,45879.3083,12,20.069415131099998
NP,salichos,2,poisson,inferredtree,-21137.9938,43,42361.9876,42370.3224,42543.0434,6,9.8661882341
NP,salichos,2,m1,optimizedtruetree,-19781.8798,63,39689.7596,39708.3403,39955.0274,0,12.734555579600002
NP,salichos,2,m2,optimizedtruetree,-20188.9638,44,40465.9276,40474.6693,40651.1940,0,13.0364320497
NP,salichos,2,m3,optimizedtruetree,-20445.9030,63,41017.8060,41036.3867,41283.0738,0,12.494986500199996
NP,salichos,2,m4,optimizedtruetree,-20771.2016,44,41630.4032,41639.1449,41815.6696,0,14.386875069500006
NP,salichos,2,m5,optimizedtruetree,-22830.6432,43,45747.2864,45755.6212,45928.3422,0,20.132373439000006
NP,salichos,2,poisson,optimizedtruetree,-21144.1004,43,42374.2008,42382.5356,42555.2566,0,9.904253430599995
NP,rayfinned,2,m1,inferredtree,-48630.6298,608,98477.2596,839021.2596,101037.3045,72,16.096076726599993
NP,rayfinned,2,m2,inferredtree,-50234.1598,608,101684.3196,842228.3196,104244.3645,72,19.4851921294
NP,rayfinned,2,m3,inferredtree,-51048.0082,627,103350.0165,890862.0165,105990.0627,68,17.07482845600001
NP,rayfinned,2,m4,inferredtree,-51962.0189,608,105140.0378,845684.0378,107700.0827,62,22.854819088100026
NP,rayfinned,2,m5,inferredtree,-58343.6338,607,117901.2677,856013.2677,120457.1019,82,20.02765326569997
NP,rayfinned,2,poisson,inferredtree,-53125.0242,607,107464.0485,845576.0485,110019.8827,70,15.381098932600002
NP,rayfinned,2,m1,optimizedtruetree,-48645.4624,608,98506.9249,839050.9249,101066.9697,0,16.123676668599987
NP,rayfinned,2,m2,optimizedtruetree,-50252.0018,608,101720.0035,842264.0035,104280.0484,0,19.478538847799975
NP,rayfinned,2,m3,optimizedtruetree,-51067.7357,627,103389.4715,890901.4715,106029.5177,0,17.109940279699995
NP,rayfinned,2,m4,optimizedtruetree,-51991.4932,608,105198.9865,845742.9865,107759.0313,0,22.926273992099997
NP,rayfinned,2,m5,optimizedtruetree,-58412.2531,607,118038.5062,856150.5062,120594.3404,0,20.0499986812
NP,rayfinned,2,poisson,optimizedtruetree,-53147.7564,607,107509.5128,845621.5128,110065.3471,0,15.398265035699982
NP,spiralia,2,m1,inferredtree,-32105.3906,204,64618.7811,64904.2419,65477.7435,6,12.313165549699995
NP,spiralia,2,m2,inferredtree,-32982.5530,223,66411.1061,66775.7192,67350.0699,6,16.811056923599995
NP,spiralia,2,m3,inferredtree,-33695.6213,203,67797.2425,68078.9568,68651.9943,8,11.482436504400004
NP,spiralia,2,m4,inferredtree,-34288.7624,203,68983.5247,69265.2390,69838.2766,10,11.787059285900007
NP,spiralia,2,m5,inferredtree,-38575.4390,204,77558.8781,77844.3388,78417.8405,12,15.5733096998
NP,spiralia,2,poisson,inferredtree,-35413.5790,203,71233.1580,71514.8723,72087.9098,10,11.445170367700005
NP,spiralia,2,m1,optimizedtruetree,-32109.6908,204,64627.3817,64912.8424,65486.3441,0,12.351851469600001
NP,spiralia,2,m2,optimizedtruetree,-32991.5913,223,66429.1825,66793.7956,67368.1463,0,16.876389675500004
NP,spiralia,2,m3,optimizedtruetree,-33701.4533,203,67808.9066,68090.6209,68663.6584,0,11.48268213659999
NP,spiralia,2,m4,optimizedtruetree,-34298.6509,203,69003.3018,69285.0161,69858.0536,0,11.792237819499997
NP,spiralia,2,m5,optimizedtruetree,-38591.5800,204,77591.1600,77876.6208,78450.1224,0,15.589426180700004
NP,spiralia,2,poisson,optimizedtruetree,-35420.6251,203,71247.2501,71528.9644,72102.0019,0,11.455998619500006
NP,andersen,3,m1,inferredtree,-26231.1222,352,53166.2445,54880.1203,54648.3757,90,9.304194732
NP,andersen,3,m2,inferredtree,-26885.9880,371,54513.9759,56704.6426,56076.1086,90,9.128203951300005
