name,tree,repl,model,modelq
HA,greenplant,9,JTT+F+G4,1
HA,greenplant,9,Dayhoff+F+G4,2
HA,greenplant,9,PMB,3
HA,greenplant,9,rtREV+F,4
HA,greenplant,9,mtART,5
HA,greenplant,10,JTT+F+G4,1
HA,greenplant,10,HIVb+F,2
HA,greenplant,10,cpREV,3
HA,greenplant,10,mtVer+G4,4
HA,greenplant,10,mtART,5
HA,greenplant,11,JTT+F+G4,1
HA,greenplant,11,VT+F,2
HA,greenplant,11,PMB,3
HA,greenplant,11,rtREV+F,4
HA,greenplant,11,mtART,5
HA,greenplant,12,JTT+F+G4,1
HA,greenplant,12,WAG+F,2
HA,greenplant,12,HIVw+F,3
HA,greenplant,12,mtVer+F,4
HA,greenplant,12,mtART,5
HA,greenplant,13,JTT+F+I+G4,1
HA,greenplant,13,DCMut+F+G4,2
HA,greenplant,13,FLU+F+I,3
HA,greenplant,13,mtMet+G4,4
HA,greenplant,13,mtART,5
HA,greenplant,14,JTT+F+G4,1
HA,greenplant,14,PMB+G4,2
HA,greenplant,14,HIVw+F,3
HA,greenplant,14,rtREV+F,4
HA,greenplant,14,mtART,5
HA,greenplant,15,JTT+F+G4,1
HA,greenplant,15,PMB+G4,2
HA,greenplant,15,mtVer+F+G4,3
HA,greenplant,15,rtREV+F,4
HA,greenplant,15,mtART,5
HA,greenplant,16,JTT+F+G4,1
HA,greenplant,16,PMB+G4,2
HA,greenplant,16,PMB,3
HA,greenplant,16,mtVer+G4,4
HA,greenplant,16,mtART,5
HA,greenplant,17,JTT+F+G4,1
HA,greenplant,17,HIVb,2
HA,greenplant,17,cpREV,3
HA,greenplant,17,rtREV+F,4
HA,greenplant,17,mtART,5
HA,greenplant,18,JTT+F+G4,1
HA,greenplant,18,Dayhoff+F+G4,2
HA,greenplant,18,HIVw+G4,3
HA,greenplant,18,mtZOA+F+G4,4
HA,greenplant,18,mtART,5
HA,greenplant,19,JTT+F+G4,1
HA,greenplant,19,VT+F,2
HA,greenplant,19,PMB+F,3
HA,greenplant,19,mtMet+G4,4
HA,greenplant,19,mtART,5
HA,greenplant,20,JTT+F+G4,1
HA,greenplant,20,VT+F,2
