name,tree,repl,bic,model,modelr
HA,prum,6,NA,HIVb+G4,1
HA,prum,6,NA,Blosum62+G4,2
HA,prum,6,NA,mtInv,3
HA,prum,6,NA,mtART+G4,4
HA,prum,6,NA,mtART,5
HA,prum,7,NA,JTT+G4,1
HA,prum,7,NA,Blosum62+F+G4,2
HA,prum,7,NA,mtZOA+F+I,3
HA,prum,7,NA,mtART+G4,4
HA,prum,7,NA,mtART,5
HA,prum,8,NA,HIVb+F+G4,1
HA,prum,8,NA,mtREV+F+I+G4,2
HA,prum,8,NA,mtMAM+G4,3
HA,prum,8,NA,mtMAM,4
HA,prum,8,NA,mtART,5
HA,prum,9,NA,HIVb+G4,1
HA,prum,9,NA,FLU,2
HA,prum,9,NA,mtMAM+G4,3
HA,prum,9,NA,mtMAM+I,4
HA,prum,9,NA,mtART,5
HA,prum,10,NA,HIVb+G4,1
HA,prum,10,NA,cpREV+F+I,2
HA,prum,10,NA,mtMAM+F+I+G4,3
HA,prum,10,NA,mtART+I+G4,4
HA,prum,10,NA,mtART,5
HA,prum,11,NA,HIVb+F+G4,1
HA,prum,11,NA,mtREV+F+I+G4,2
HA,prum,11,NA,mtMAM+G4,3
HA,prum,11,NA,mtMAM+I,4
HA,prum,11,NA,mtART,5
HA,prum,12,NA,HIVb+G4,1
HA,prum,12,NA,PMB+I,2
HA,prum,12,NA,mtVer+I,3
HA,prum,12,NA,mtART+G4,4
HA,prum,12,NA,mtART,5
HA,prum,13,NA,JTT+I+G4,1
HA,prum,13,NA,DCMut+F+I,2
HA,prum,13,NA,mtREV+I,3
HA,prum,13,NA,mtMAM,4
HA,prum,13,NA,mtART,5
HA,prum,14,NA,JTT+G4,1
HA,prum,14,NA,FLU+F+I,2
HA,prum,14,NA,mtREV+I,3
HA,prum,14,NA,mtART+I+G4,4
HA,prum,14,NA,mtART,5
HA,prum,15,NA,HIVb+G4,1
HA,prum,15,NA,HIVw+I,2
HA,prum,15,NA,mtInv,3
HA,prum,15,NA,mtART+I+G4,4
HA,prum,15,NA,mtART,5
HA,prum,16,NA,JTT+G4,1
HA,prum,16,NA,mtVer+I+G4,2
HA,prum,16,NA,mtZOA+F+I,3
HA,prum,16,NA,mtMAM+I,4
HA,prum,16,NA,mtART,5
HA,prum,17,NA,HIVb+F+G4,1
HA,prum,17,NA,FLU+F,2
HA,prum,17,NA,mtZOA+F+I,3
