name,tree,repl,model,logl,df,aic,aicc,bic
HA,yeast,2,cpREV+G4,80138.368,190,160656.736,160851.320,161480.396
HA,yeast,2,cpREV+F,81166.371,208,162748.743,162993.656,163650.434
HA,yeast,2,cpREV+F+G4,79676.441,209,159770.881,160018.847,160676.907
HA,yeast,2,mtREV,86962.808,189,174303.617,174495.649,175122.942
HA,yeast,2,mtREV+G4,84574.663,190,169529.327,169723.911,170352.987
HA,yeast,2,mtREV+F,83841.775,208,168099.550,168344.463,169001.242
HA,yeast,2,mtREV+F+G4,81684.167,209,163786.334,164034.300,164692.360
HA,yeast,2,rtREV,83802.951,189,167983.902,168175.935,168803.228
HA,yeast,2,rtREV+G4,82306.815,190,164993.630,165188.214,165817.290
HA,yeast,2,rtREV+F,83134.567,208,166685.134,166930.046,167586.825
HA,yeast,2,rtREV+F+G4,81461.540,209,163341.079,163589.045,164247.106
HA,yeast,2,mtART,92523.313,189,185424.625,185616.658,186243.951
HA,yeast,2,mtART+G4,88767.262,190,177914.523,178109.108,178738.184
HA,yeast,2,mtART+F,89409.028,208,179234.056,179478.969,180135.748
HA,yeast,2,mtART+F+G4,85975.476,209,172368.951,172616.918,173274.978
HA,yeast,2,mtZOA,88178.149,189,176734.299,176926.331,177553.624
HA,yeast,2,mtZOA+G4,85309.880,190,170999.761,171194.345,171823.421
HA,yeast,2,mtZOA+F,86258.701,208,172933.401,173178.314,173835.092
HA,yeast,2,mtZOA+F+G4,83611.375,209,167640.751,167888.717,168546.777
HA,yeast,2,VT,80893.775,189,162165.551,162357.583,162984.876
HA,yeast,2,VT+G4,79739.118,190,159858.235,160052.820,160681.896
HA,yeast,2,VT+F,80393.223,208,161202.446,161447.359,162104.138
HA,yeast,2,VT+F+G4,79187.932,209,158793.865,159041.831,159699.891
HA,yeast,2,LG,82515.930,189,165409.860,165601.892,166229.185
HA,yeast,2,LG+G4,81086.691,190,162553.381,162747.966,163377.042
HA,yeast,2,LG+F,82155.611,208,164727.223,164972.135,165628.914
HA,yeast,2,LG+F+G4,80582.948,209,161583.896,161831.862,162489.922
HA,yeast,2,DCMut,82925.326,189,166228.652,166420.684,167047.977
HA,yeast,2,DCMut+G4,81236.567,190,162853.135,163047.719,163676.795
HA,yeast,2,DCMut+F,81891.140,208,164198.280,164443.193,165099.971
HA,yeast,2,DCMut+F+G4,80233.786,209,160885.572,161133.538,161791.598
HA,yeast,2,PMB,81388.902,189,163155.804,163347.836,163975.130
HA,yeast,2,PMB+G4,80242.135,190,160864.271,161058.855,161687.931
HA,yeast,2,PMB+F,81207.978,208,162831.956,163076.869,163733.647
HA,yeast,2,PMB+F+G4,80009.670,209,160437.339,160685.305,161343.365
HA,yeast,2,HIVb,81395.334,189,163168.667,163360.699,163987.993
HA,yeast,2,HIVb+G4,79907.422,190,160194.844,160389.428,161018.504
HA,yeast,2,HIVb+F,81056.365,208,162528.729,162773.642,163430.420
HA,yeast,2,HIVb+F+G4,79426.249,209,159270.498,159518.464,160176.524
HA,yeast,2,HIVw,84251.634,189,168881.268,169073.300,169700.593
HA,yeast,2,HIVw+G4,82617.536,190,165615.071,165809.656,166438.732
HA,yeast,2,HIVw+F,82277.982,208,164971.965,165216.877,165873.656
HA,yeast,2,HIVw+F+G4,80634.029,209,161686.058,161934.024,162592.084
HA,yeast,2,JTTDCMut,80387.075,189,161152.150,161344.182,161971.475
HA,yeast,2,JTTDCMut+G4,79095.050,190,158570.101,158764.685,159393.761
HA,yeast,2,JTTDCMut+F,80067.845,208,160551.689,160796.602,161453.380
HA,yeast,2,JTTDCMut+F+G4,78694.471,209,157806.941,158054.907,158712.968
HA,yeast,2,FLU,83129.006,189,166636.012,166828.044,167455.338
HA,yeast,2,FLU+G4,81580.170,190,163540.341,163734.925,164364.001
HA,yeast,2,FLU+F,81986.294,208,164388.587,164633.500,165290.278
HA,yeast,2,FLU+F+G4,80347.747,209,161113.494,161361.460,162019.520
HA,yeast,2,Blosum62,82122.620,189,164623.239,164815.272,165442.565
HA,yeast,2,Blosum62+G4,80908.490,190,162196.980,162391.565,163020.641
HA,yeast,2,Blosum62+F,81684.650,208,163785.301,164030.213,164686.992
HA,yeast,2,Blosum62+F+G4,80419.932,209,161257.863,161505.829,162163.889
